Dist,fluxKandM1,fluxKandM2,fluxKandM3,,,
136,0.001739913,0.001759064,0.001866797,,,
137,0.001717024,0.001736095,0.001843099,,,
138,0.001694566,0.001713556,0.001819832,,,
139,0.001672527,0.001691435,0.001796985,,,
140,0.001650898,0.001669723,0.00177455,,,
141,0.001629669,0.001648409,0.001752516,,,
142,0.00160883,0.001627485,0.001730875,,,
143,0.001588372,0.001606942,0.001709617,,,
144,0.001568287,0.00158677,0.001688733,,,
145,0.001548564,0.001566961,0.001668216,,,
146,0.001529197,0.001547506,0.001648057,,,
147,0.001510176,0.001528398,0.001628247,,,
148,0.001491495,0.001509627,0.00160878,,,
149,0.001473144,0.001491188,0.001589647,,,
150,0.001455116,0.001473071,0.001570841,,,
151,0.001437405,0.00145527,0.001552354,,,
152,0.001420002,0.001437778,0.001534181,,,
153,0.001402902,0.001420588,0.001516314,,,
154,0.001386096,0.001403693,0.001498746,,,
155,0.00136958,0.001387086,0.001481471,,,
156,0.001353345,0.001370761,0.001464482,,,
157,0.001337387,0.001354713,0.001447774,,,
158,0.001321698,0.001338934,0.001431341,,,
159,0.001306274,0.00132342,0.001415176,,,
160,0.001291108,0.001308163,0.001399274,,,
161,0.001276194,0.00129316,0.00138363,,,
162,0.001261528,0.001278404,0.001368237,,,
163,0.001247104,0.00126389,0.001353092,,,
164,0.001232917,0.001249613,0.001338188,,,
165,0.001218961,0.001235568,0.001323521,,,
166,0.001205233,0.00122175,0.001309085,,,
167,0.001191727,0.001208155,0.001294877,,,
168,0.001178438,0.001194777,0.001280891,,,
169,0.001165362,0.001181613,0.001267123,,,
170,0.001152494,0.001168657,0.001253569,,,
171,0.001139831,0.001155905,0.001240224,,,
172,0.001127368,0.001143354,0.001227084,,,
173,0.001115101,0.001131,0.001214146,,,
174,0.001103025,0.001118837,0.001201404,,,
175,0.001091138,0.001106863,0.001188855,,,
176,0.001079435,0.001095074,0.001176496,,,
177,0.001067913,0.001083465,0.001164322,,,
178,0.001056568,0.001072034,0.00115233,,,
179,0.001045396,0.001060777,0.001140517,,,
180,0.001034394,0.00104969,0.001128879,,,
181,0.001023559,0.00103877,0.001117412,,,
182,0.001012887,0.001028014,0.001106114,,,
